# {"t_start": 1559913751.1606753, "env_id": "PickbotPickContinuousDoorHandle-v0"} 
r,l,t
-4.550925,2,3.267096
-16.73554,14,8.89757
-6.713363,4,10.680642
-3.475614,1,10.984019
-3.527476,1,11.291066
-3.561971,1,11.594042
-16.486091,14,18.001649
-5.837585,3,19.755666
-8.987842,6,22.546703
-3.761423,1,22.868652
-4.777221,2,23.645435
-8.960349,6,26.603308
-6.611696,4,28.367799
-3.525763,1,28.844108
-3.006424,1,29.176564
-5.855346,3,30.636157
-4.970769,2,31.414159
-3.727532,1,31.749594
-4.400845,2,32.692253
-4.693533,2,33.584611
-4.967151,2,34.28243
-5.95888,3,35.782637
-3.403657,1,36.082599
-5.863449,3,37.172989
-16.664225,14,45.033879
-3.8673,1,45.624744
-6.801348,4,47.474642
-3.529801,1,47.777354
-3.484325,1,48.083498
-6.921616,4,49.842014
-3.724771,1,50.241602
-5.787843,3,51.899244
-9.651427,7,55.190552
-3.329068,1,55.501292
-3.49357,1,55.816184
-5.924265,3,57.268195
-3.936376,1,57.873389
-3.461987,1,58.225219
-9.750148,7,61.274603
-4.965279,2,62.326338
-8.914661,6,64.974068
-10.443101,8,68.759667
-6.96519,4,70.847561
-3.473979,1,71.16128
-4.894776,2,72.239426
-3.684152,1,72.795106
-4.796712,2,73.576321
-3.725412,1,73.88821
-3.57511,1,74.20026
-10.902152,8,77.966483
-5.741292,3,79.125948
-8.937899,6,81.922706
-4.773636,2,82.546432
-3.666317,1,82.941167
-7.491155,5,85.303212
-7.981669,5,87.538545
-7.997857,5,90.069269
-3.134677,1,90.416715
-3.599403,1,90.993137
-10.940099,8,94.692074
-3.761415,1,95.001607
-3.291762,1,95.381577
-4.581991,2,96.286606
-11.565804,9,100.232051
-12.86735,10,104.827839
-3.915618,1,105.332096
-4.778608,2,105.94554
-17.947794,15,113.006504
-4.841692,2,113.735233
-9.82772,7,116.860069
-9.874725,7,120.196819
-26.761668,24,131.878581
-4.857418,2,132.698065
-3.537289,1,133.022525
-7.839608,5,134.849847
-5.675867,3,136.200321
-3.575892,1,136.515561
-8.605677,6,138.763961
-3.458277,1,139.079383
-4.814162,2,140.210831
-3.736738,1,140.523846
-4.945939,2,141.252164
-4.95775,2,142.016058
-6.828252,4,143.461536
-11.949127,9,147.765676
-10.71233,8,151.619939
-4.825833,2,152.613761
-6.494824,4,154.322545
-4.894831,2,155.159252
-9.976237,7,158.345063
-4.712534,2,159.303609
-3.420182,1,159.672223
-3.795879,1,160.147453
-4.607932,2,160.859739
-5.780218,3,162.140003
-3.946568,1,162.661889
-3.633764,1,162.970148
-3.434899,1,163.275137
-3.556635,1,163.598655
-3.425214,1,164.012533
-5.696796,3,165.438104
-11.933772,9,169.339883
-3.753567,1,169.64312
-6.934835,4,171.557928
-3.268192,1,171.861279
-4.821796,2,172.786485
-5.967474,3,174.030783
-4.93211,2,174.637118
-20.762435,18,184.086213
-8.605071,6,186.637528
-3.919961,1,187.215202
-4.841119,2,187.982051
-3.23578,1,188.368781
-3.362739,1,188.669452
-8.73649,6,191.08941
-10.853948,8,194.832159
-5.000257,2,195.591759
-3.559239,1,195.938812
-6.82589,4,197.610655
-9.815137,7,201.042658
-3.189335,1,201.366337
-3.094368,1,201.725085
-3.508102,1,202.044787
-3.760481,1,202.361358
-4.979673,2,203.449293
-3.499421,1,203.754186
-11.984615,9,208.090414
-3.725621,1,208.40024
-5.791944,3,209.488434
-19.652335,17,218.447139
-3.674126,1,218.762664
-4.877697,2,219.500808
-4.218207,2,220.20706
-13.764853,11,225.790079
-6.977118,4,227.363378
-8.482494,6,229.989053
-3.07473,1,230.324675
-12.659352,10,234.851958
-3.074697,1,235.203827
-3.634787,1,235.531749
-9.970087,7,239.005389
-3.953336,1,239.633599
-3.312148,1,239.958278
-7.77322,5,242.277718
-4.845235,2,243.027853
-6.778412,4,244.929712
-6.378241,4,246.587743
-3.315596,1,246.904769
-5.946061,3,248.341674
-6.917693,4,250.451042
-3.419286,1,250.868584
-9.567444,7,253.867029
-8.65947,6,256.885383
-7.573838,5,259.284352
-24.046541,21,269.372038
-5.985463,3,271.012046
-8.953885,6,273.42629
-4.894182,2,274.143404
-8.889892,6,277.55437
-4.918978,2,278.35553
-5.001686,2,279.160259
-7.990802,5,281.826397
-7.75023,5,284.049398
-9.953675,7,287.402068
-3.530193,1,287.706592
-3.813696,1,288.094863
-9.990595,7,291.564329
-12.216097,10,295.912713
-5.957204,3,297.13768
-3.5255,1,297.463457
-4.942479,2,298.308546
-8.930377,6,300.593091
-3.305954,1,300.946736
-12.974957,10,305.716246
-6.752262,4,307.410468
-6.982924,4,309.475313
-3.749422,1,309.808411
-12.389294,10,314.190883
-4.844025,2,314.893825
-5.807845,3,316.435215
-4.718573,2,317.234306
-3.254042,1,317.554911
-5.996077,3,318.939535
-5.722569,3,320.054854
-5.971947,3,321.115841
-3.4934,1,321.41911
-7.982052,5,323.73511
-3.593001,1,324.041675
-7.996407,5,326.091077
-6.903505,4,327.671206
-3.399895,1,327.988794
-6.005221,3,328.958488
-4.681883,2,329.571661
-4.872071,2,330.433511
-3.243112,1,330.777369
-4.749171,2,331.542179
-3.331542,1,331.961897
-3.713234,1,332.505739
-5.928379,3,334.164326
-5.440405,3,335.250444
-4.964022,3,336.450144
-5.841161,3,337.871898
-3.297958,1,338.413112
-9.853159,8,341.786406
-11.724612,9,345.864865
-7.741797,5,347.968256
-4.794196,2,348.777842
-10.734871,8,352.193179
-10.743733,8,355.559619
-15.866093,13,361.480033
-3.57854,1,361.77918
-4.453677,2,362.826617
-3.828701,1,363.325154
-12.78554,10,368.159945
-11.880644,9,372.638227
-5.754911,3,373.808502
-3.614685,1,374.110796
-3.600732,1,374.452828
-3.751975,1,374.971313
-4.922524,2,375.774616
-4.860515,2,376.622148
-6.834465,4,378.434259
-7.939207,5,380.816478
-3.649113,1,381.119107
-3.43639,1,381.415426
-4.977883,3,382.747019
-7.960778,5,384.998093
-6.745253,4,386.478997
-5.959226,3,387.622798
-3.665234,1,387.928476
-3.41801,1,388.243693
-6.697587,4,390.131025
-3.368185,1,390.612142
-3.229804,1,390.948144
-10.006272,7,394.642613
-4.619041,2,395.377316
-3.958534,1,395.997578
-3.548419,1,396.293067
-3.516561,1,396.630824
-3.69303,1,397.091945
-3.619237,1,397.395557
-4.645913,2,398.181869
-3.68651,1,398.502936
-11.369075,9,402.684289
-4.854557,2,403.532831
-6.782779,4,405.314204
-3.526007,1,405.620856
-4.711077,2,406.413184
-3.611565,1,406.716074
-4.188348,2,407.74306
-3.529277,1,408.064444
-3.449341,1,408.394954
-5.720577,3,409.975895
-14.934504,12,416.305523
-4.611751,2,416.894272
-3.312935,1,417.208697
-9.87447,7,420.34514
-7.996909,5,422.73952
-3.944701,1,423.372115
-10.89687,8,427.557573
-4.904073,2,428.230023
-4.832729,2,429.117384
-6.602127,4,430.812099
-5.792857,3,432.734733
-3.449637,1,433.039522
-7.775148,5,435.176134
-4.988991,2,436.322968
-13.821179,11,440.828413
-6.977085,4,442.376023
-8.91367,6,445.287022
-7.973554,5,447.723696
-12.885414,10,452.969898
-5.563188,3,454.497891
-5.942161,3,455.570956
-4.850315,2,456.36562
-3.776782,1,456.702819
-3.560388,1,457.019809
-7.006614,4,458.861693
-3.720987,1,459.164783
-6.85971,4,460.914599
-3.448618,1,461.210436
-3.372539,1,461.619626
-3.420821,1,461.927305
-5.896894,3,463.941056
-14.886916,12,469.504156
-6.706902,4,470.944117
-3.761373,1,471.294045
-8.802539,6,474.188016
-4.945028,2,475.090582
-3.655982,1,475.409765
-4.363142,2,476.226674
-5.99532,3,477.597884
-10.934705,8,481.171323
-13.943929,11,486.614978
-5.258682,3,487.8599
-17.90313,15,494.703007
-3.503294,1,495.063387
-5.912437,3,496.413405
-3.914939,1,497.071477
-4.959819,2,497.845678
-7.853,5,500.067039
-11.565631,9,504.050957
-3.616215,1,504.351336
-3.125838,1,504.677135
-3.777604,1,505.099788
-5.002162,2,505.926749
-3.945962,1,506.437079
-9.900593,7,509.379378
-4.926611,2,510.09123
-5.004805,2,510.834786
-4.650503,2,511.664942
-4.754895,2,512.513479
-5.841223,3,513.867169
-4.483608,2,514.460293
-7.466891,5,516.500788
-4.999236,2,517.291876
-3.587794,1,517.637643
-5.975956,3,518.885438
-3.175716,1,519.199928
-3.460624,1,519.534849
-5.464009,3,520.59503
-3.642716,1,520.895636
-3.931107,1,521.399247
-9.908536,7,524.408402
-4.990111,2,525.153172
-5.401011,3,526.580328
-5.987116,3,527.796358
-8.390831,6,530.56238
-5.79578,3,531.616694
-4.373735,2,532.560599
-5.954396,3,533.712147
-8.836327,6,536.355267
-7.9076,5,538.393017
-14.723769,12,543.721468
-4.215167,2,544.500872
-4.608352,2,545.056325
-4.618547,2,545.851415
-5.894339,3,547.071427
-5.892312,3,548.107677
-7.616589,5,550.184091
-4.546117,2,551.061996
-3.323568,1,551.364214
-7.008125,4,553.304027
-6.736203,4,555.154058
-3.274971,1,555.454184
-4.556317,2,556.294137
-5.800287,3,557.450887
-4.848713,2,558.114733
-3.486423,1,558.415801
-5.969692,3,559.581097
-6.873657,4,561.519493
-4.999333,2,562.31211
-5.685545,3,563.561866
-4.816356,2,564.330577
-5.682544,3,565.274073
-5.736555,3,566.563116
-5.924775,3,568.064708
-3.180671,1,568.38489
-5.757975,3,569.874782
-4.847904,2,570.895234
-8.90571,6,573.66589
-4.947442,2,574.484674
-13.96617,11,579.486165
-3.645377,1,579.881969
-3.920848,1,580.387256
-5.913857,3,581.611894
-3.564372,1,581.965822
-3.094829,1,582.296283
-7.417845,5,584.404376
-9.717455,7,587.048032
-6.961992,4,588.671081
-5.347209,3,590.254593
-10.251808,8,593.700055
-4.836145,2,594.464015
-3.47928,1,594.772494
-3.356696,1,595.109772
-3.506685,1,595.425788
-3.39566,1,595.728616
-4.642237,2,596.41341
-5.994009,3,597.726587
-3.287348,1,598.071531
-14.977127,12,603.650093
-3.462609,1,603.958467
-3.597642,1,604.261639
-9.640065,7,607.119104
-12.651483,10,611.947683
-10.791363,8,615.243435
-3.453462,1,615.542324
-3.053861,1,615.894345
-4.79386,2,616.438746
-4.834009,2,616.991629
-5.746857,3,618.513519
-5.950834,3,619.845954
-7.648806,5,622.052646
-5.775867,3,623.274245
-11.998385,9,627.911958
-7.947131,5,630.01183
-3.171325,1,630.520531
-9.973375,7,633.375037
-16.675926,14,639.680242
-5.797036,3,640.855703
-3.385718,1,641.15416
-3.308087,1,641.480659
-8.742248,6,644.663749
-3.403364,1,645.047923
-3.686704,1,645.347167
-8.953493,6,648.411442
-3.447955,1,648.722154
-3.562192,1,649.144064
-3.712732,1,649.447968
-6.824502,4,651.410608
-5.872722,3,652.59627
-9.88478,7,655.24348
-5.95353,3,656.349164
-3.840746,1,656.84388
-4.912631,2,657.585887
-7.922021,5,660.208101
-7.919082,5,662.19294
-9.875892,7,665.257618
-12.58853,10,669.952173
-3.818536,1,670.501265
-6.840473,4,672.322309
-3.181052,1,672.638775
-6.816882,4,674.011436
-3.695642,1,674.549846
-4.631735,2,675.579627
-8.896772,6,678.926361
-9.865344,7,682.230489
-3.215607,1,682.548436
-3.296263,1,682.916962
-5.940794,3,684.135575
-5.935292,3,685.350987
-13.567585,11,690.616127
-8.875774,6,693.026405
-4.658158,2,693.826793
-3.633868,1,694.200861
-11.974678,9,697.711094
-5.867963,3,699.042671
-3.943349,1,699.511686
-10.80262,8,703.102327
-4.654291,2,703.825124
-3.533874,1,704.128969
-7.851286,5,706.07251
-4.586671,2,706.919141
-8.847009,6,709.308391
-3.326026,1,709.616944
-3.717254,1,709.920521
-3.150505,1,710.274973
-4.897156,2,711.134153
-4.94434,2,712.094088
-4.857055,2,712.902873
-3.758522,1,713.229116
-3.516415,1,713.533482
-7.954987,5,715.876547
-5.991219,3,717.105166
-6.627175,4,718.701037
-4.762851,2,719.578043
-11.785391,9,723.98435
-5.940043,3,725.059001
-3.586724,1,725.575282
-4.90169,2,726.415349
-5.795765,3,727.695713
-3.387491,1,728.045406
-4.98723,2,729.104341
-4.858916,2,730.179166
-3.470904,1,730.514512
-6.566775,4,732.468405
-6.854069,4,734.217895
-3.954327,1,734.735847
-3.502489,1,735.167512
-3.349026,1,735.478247
-4.696908,2,736.116951
-3.734926,1,736.422451
-5.765051,3,737.679607
-6.938043,4,739.464025
-3.568615,1,739.787381
-3.284994,1,740.11767
-13.760228,11,745.348773
-4.948789,2,746.339883
-3.746931,1,746.649416
-7.968586,5,749.275583
-6.911525,4,750.913083
-3.619707,1,751.22658
-4.745582,2,752.091222
-3.633629,1,752.397561
-3.680171,1,752.923756
-3.4468,1,753.228747
-8.639354,6,755.552248
-3.557171,1,755.94848
-6.903334,4,757.562779
-4.884752,2,758.462524
-6.99676,4,760.553936
-9.702672,7,763.875112
-3.717913,1,764.183027
-3.481369,1,764.489626
-5.766638,3,765.683056
-3.158057,1,766.036841
-5.885886,3,767.266408
-3.051279,1,767.59212
-4.838008,2,768.445017
-4.89934,2,769.320049
-3.615158,1,769.69204
-4.92559,2,770.698744
-4.799242,2,771.734684
-7.984743,5,773.927315
-6.396852,4,775.64571
-4.905389,2,776.496505
-3.712006,1,776.805581
-6.901887,4,778.733029
-7.973382,5,780.954812
-14.871423,12,786.345254
-3.886358,1,786.813195
-3.481182,1,787.113491
-4.931788,2,787.97574
-3.9366,1,788.488248
-6.611271,4,790.16676
-4.74732,2,790.832233
-3.697189,1,791.32105
-6.430039,4,792.941147
-20.884629,18,801.525253
-7.903418,5,803.776438
-4.872937,2,804.524133
-3.502632,1,804.921056
-6.894308,4,806.575573
-9.962425,7,809.687366
-3.651145,1,810.005731
-9.470302,7,813.245998
-7.597818,5,815.394583
-3.291612,1,815.807371
-3.492083,1,816.125486
-8.983554,6,819.00667
-3.580747,1,819.420396
-4.949881,2,820.32023
-3.507286,1,820.627569
-13.465224,11,825.990038
-3.438407,1,826.313082
-3.301944,1,826.698396
-3.606651,1,827.00058
-12.001704,9,831.582237
-4.931705,2,832.464221
-8.260598,6,835.068222
-3.862245,1,835.706091
-5.545733,3,837.247016
-4.991685,2,837.96923
-3.956923,1,838.48449
-3.470871,1,838.785113
-11.889065,9,843.002021
-3.320281,1,843.463141
-4.784077,2,844.216222
-3.73554,1,844.527316
-4.993698,2,845.350301
-15.838281,13,850.903977
-8.851221,6,853.72874
-6.942123,4,855.544484
-3.934204,1,856.04407
-6.670063,4,858.119817
-9.796367,7,861.473399
-4.585303,2,862.285627
-4.753422,2,863.171115
-4.901268,2,863.986734
-3.763065,1,864.494536
-5.996742,3,865.741632
-3.25333,1,866.06387
-3.481413,1,866.372599
-4.895772,2,867.234036
-3.745289,1,867.537872
-9.678545,7,870.71086
-16.494292,14,876.977154
-8.807556,6,879.456677
-3.479647,1,879.769459
-3.374119,1,880.187157
-3.279527,1,880.506643
-3.495245,1,880.846499
-3.629091,1,881.153581
-3.957609,1,881.694654
-3.580072,1,881.995237
-3.416736,1,882.502212
-4.85222,2,883.109324
-4.780016,2,883.964668
-14.479945,12,889.550949
-3.643828,1,889.861705
-6.729545,4,891.616484
-6.655695,4,893.184184
-4.252672,2,893.885568
-5.933856,3,895.170942
-3.884688,1,895.729934
-6.750964,4,897.350512
-5.582968,3,898.563828
-5.759865,3,899.774753
-5.852719,3,901.055756
-4.847332,2,901.823993
-3.478604,1,902.124272
