entloss,entropy,eplenmean,eprewmean,eprewsem,epsofar,epthisiter,ev_tdlam_before,meankl,optimgain,surrgain,timelapsed,timestepsofar
0.0,8.516911,3.475,-6.1938334,3.0408432,283,283,0.027147293090820312,0.0010360085,0.025160901,0.025160901,460.4202024936676,1024
0.0,8.514701,2.975,-5.656173,2.878484,592,309,0.04765385389328003,0.0010371907,0.024527298,0.024527298,904.2652812004089,2039
0.0,8.515527,3.95,-6.6569033,4.196553,903,311,0.0167502760887146,0.00103843,0.024487223,0.024487223,1359.3808238506317,3072
0.0,8.511905,3.1,-5.830102,2.3847935,1256,353,-0.005231976509094238,0.001038118,0.026938392,0.026938392,1805.4154679775238,4094
0.0,8.518889,3.0,-5.684686,2.4798934,1587,331,0.0227850079536438,0.0010030498,0.023204869,0.023204869,2248.5422666072845,5119
0.0,8.512039,2.625,-5.343061,2.8907652,1944,357,0.04040253162384033,0.0010978702,0.026613727,0.026613727,2697.9718306064606,6144
0.0,8.511977,3.075,-5.7477036,3.3807735,2341,397,0.055864930152893066,0.0010293154,0.025457773,0.025457773,3141.358824968338,7166
0.0,8.514802,2.525,-5.1555533,2.4283688,2760,419,0.03456592559814453,0.001074648,0.030527852,0.030527852,3585.978574991226,8190
0.0,8.508579,2.5,-5.231671,2.700045,3183,423,0.07191586494445801,0.0010138273,0.029340174,0.029340174,4025.8309242725372,9216
0.0,8.507575,2.225,-4.928347,1.675979,3595,412,0.11354470252990723,0.001059603,0.028484335,0.028484335,4471.7032260894775,10239
0.0,8.502954,2.475,-5.1746182,2.080794,4036,441,0.08819657564163208,0.0011210309,0.030555954,0.030555954,4900.998143911362,11263
0.0,8.493308,2.05,-4.667325,1.9144862,4499,463,0.028954803943634033,0.0010573188,0.031171873,0.031171873,5331.690346240997,12288
0.0,8.478625,2.55,-5.214583,2.363196,4993,494,0.029146313667297363,0.001042714,0.029927272,0.029927272,5756.531420946121,13312
0.0,8.467449,2.3,-4.989366,1.9049159,5485,492,0.10142308473587036,0.0010866611,0.029194036,0.029194036,6179.420121192932,14334
