# {"env_id": "PickbotPickContinuousDoorHandle-v0", "t_start": 1560348626.379589} 
r,l,t
-2.896698,1,2.960529
-3.002374,1,3.529023
-2.992298,1,4.080829
-2.985307,1,4.641837
-3.133801,1,5.213554
-2.996575,1,5.844781
-3.032876,1,6.400772
-3.103126,1,6.960441
-3.005922,1,7.599243
-3.166883,1,8.162001
-2.988281,1,8.796599
-3.04209,1,9.351573
-3.021583,1,9.941698
-3.152033,1,10.497292
-2.986447,1,11.080235
-3.195667,1,11.660823
-3.108314,1,12.227921
-3.027282,1,12.781732
-3.028568,1,13.337515
-2.989685,1,13.924625
-2.991818,1,14.476777
-2.978487,1,15.047144
-2.981255,1,15.630724
-2.957611,1,16.205334
-3.006764,1,16.787946
-2.959381,1,17.385275
-3.141471,1,17.938413
-3.112601,1,18.515655
-3.108377,1,19.091906
-3.092929,1,19.658301
-2.953796,1,20.232413
-3.062511,1,20.803122
-3.044611,1,21.383319
-3.040246,1,21.952197
-2.961688,1,22.505206
-3.043397,1,23.071031
-3.017078,1,23.634887
-3.042005,1,24.220107
-2.974566,1,24.782956
-3.012176,1,25.372936
-3.072912,1,26.009855
-3.030527,1,26.567331
-3.060772,1,27.127985
-2.999004,1,27.700605
-3.047476,1,28.292969
-3.029848,1,28.883111
-3.084066,1,29.494303
-2.977076,1,30.039302
-2.951754,1,30.619636
-3.108445,1,31.176754
-3.189119,1,31.727819
-2.983633,1,32.281847
-3.091103,1,32.847062
-3.200098,1,33.429957
-2.964099,1,33.996334
-3.021541,1,34.618215
-3.239852,1,35.200399
-3.029584,1,35.798431
-2.954781,1,36.376293
-2.984538,1,36.939562
-3.255591,1,37.480758
-3.034261,1,38.035312
-3.104168,1,38.630441
-2.945868,1,39.26237
-2.956171,1,39.817426
-3.071967,1,40.393066
-3.080428,1,40.969692
-3.032322,1,41.534876
-3.098641,1,42.125145
-2.986906,1,42.702289
-3.069782,1,43.261879
-3.023881,1,43.8395
-2.983698,1,44.394112
-3.174947,1,44.974632
-3.082197,1,45.548568
-3.110601,1,46.150755
-3.136738,1,46.715094
-2.959432,1,47.282451
-3.086701,1,47.840993
-3.049813,1,48.403511
-2.905793,1,48.956761
-3.141195,1,49.513442
-3.068353,1,50.078454
-3.062095,1,50.724067
-3.034754,1,51.376644
-2.995916,1,51.936052
-3.400313,1,52.461677
-2.978006,1,53.065953
-3.037766,1,53.690788
-3.152,1,54.252012
-3.045416,1,54.801294
-3.012062,1,55.376514
-2.971399,1,55.972611
-2.917517,1,56.536344
-3.045225,1,57.0929
-3.028884,1,57.645943
-2.950073,1,58.24477
-3.028551,1,58.832682
-3.03642,1,59.460122
-2.993233,1,60.047765
-3.001918,1,60.63402
-2.981112,1,61.230196
-3.034054,1,61.774983
-2.959327,1,62.347156
-3.115237,1,62.914198
-3.148892,1,63.472893
-3.000234,1,64.065514
-3.107266,1,64.639835
-3.057726,1,65.211231
-3.204228,1,65.746902
-3.176895,1,66.313486
-3.116658,1,66.8845
-2.989773,1,67.460854
-3.28697,1,68.007617
