entloss,entropy,eplenmean,eprewmean,eprewsem,epsofar,epthisiter,ev_tdlam_before,meankl,optimgain,surrgain,timelapsed,timestepsofar
-0.0,-1.5428562,1.0,-2.9738991,0.019883981,1024,1024,0.00015175342559814453,0.0010136659,0.014036197,0.014036197,583.7177550792694,1024
-0.0,-1.5813391,1.0,-2.9657447,0.014598931,2048,1024,-0.00038111209869384766,0.0010174736,0.01270896,0.01270896,1167.2068920135498,2048
-0.0,-1.6212863,1.0,-2.9681,0.0097574955,3072,1024,-0.0001214742660522461,0.0010131125,0.01619347,0.01619347,1751.2405688762665,3072
-0.0,-1.6676663,1.0,-2.9673264,0.012118819,4096,1024,0.00048297643661499023,0.0010151936,0.014603943,0.014603943,2333.9387967586517,4096
-0.0,-1.7097552,1.0,-2.9661522,0.009275904,5120,1024,0.00018298625946044922,0.001011908,0.008571746,0.008571746,2919.1380064487457,5120
-0.0,-1.7461147,1.0,-2.9676747,0.011697296,6144,1024,4.357099533081055e-05,0.0010164987,0.015847921,0.015847921,3502.560882091522,6144
-0.0,-1.7867137,1.0,-2.9678535,0.015371988,7168,1024,-5.733966827392578e-05,0.0010181242,0.012670217,0.012670217,4084.801199197769,7168
-0.0,-1.827403,1.0,-2.9661832,0.009897782,8192,1024,0.00018852949142456055,0.0010103295,0.011085679,0.011085679,4668.555179357529,8192
-0.0,-1.8720629,1.0,-2.9673994,0.0145564275,9216,1024,0.00034862756729125977,0.001016111,0.012596944,0.012596944,5252.42466378212,9216
-0.0,-1.8721696,1.0,-2.9689167,0.015589563,10239,1023,0.18917226791381836,0.0013770914,0.0017458461,0.0017458461,5836.739473819733,10240
-0.0,-1.9200956,1.0,-2.9704747,0.01123615,11263,1024,6.574392318725586e-05,0.0010141063,0.015546944,0.015546944,6421.026043653488,11264
-0.0,-1.9605997,1.0,-2.9729397,0.011482962,12287,1024,3.993511199951172e-06,0.0010154152,0.010180194,0.010180194,7003.435725212097,12288
-0.0,-2.004162,1.0,-2.972764,0.014175315,13311,1024,1.5139579772949219e-05,0.0010144382,0.014910819,0.014910819,7587.9321620464325,13312
-0.0,-2.030535,1.0,-2.9804692,0.07811554,14335,1024,1.1682510375976562e-05,0.0010186124,0.007058462,0.007058462,8172.112780570984,14336
-0.0,-2.0814493,1.0,-2.9698968,0.012942403,15359,1024,-0.0001239776611328125,0.0010086462,0.0130184265,0.0130184265,8755.797045946121,15360
-0.0,-2.1301763,1.0,-2.9678428,0.011255238,16383,1024,-0.00015783309936523438,0.0010158418,0.010776672,0.010776672,9341.834018468857,16384
-0.0,-2.1599371,1.0,-2.968322,0.013296639,17407,1024,-0.00014662742614746094,0.0010230528,0.013068652,0.013068652,9927.037661790848,17408
-0.0,-2.193867,1.0,-2.9659748,0.011640333,18431,1024,-4.1484832763671875e-05,0.0010173793,0.01088132,0.01088132,10511.893502950668,18432
-0.0,-2.2283125,1.0,-2.9687972,0.011120107,19455,1024,0.0003554821014404297,0.001019456,0.011414255,0.011414255,11096.267283201218,19456
-0.0,-2.2537584,1.0,-2.970013,0.0150436815,20479,1024,0.00029838085174560547,0.0010196095,0.013402134,0.013402134,11681.496775388718,20480
-0.0,-2.2971957,1.0,-2.9649673,0.010566695,21503,1024,3.260374069213867e-05,0.0010198476,0.009788437,0.009788437,12266.742710590363,21504
-0.0,-2.3426397,1.0,-2.9663959,0.014572397,22527,1024,4.947185516357422e-05,0.0010116934,0.011243632,0.011243632,12852.956580638885,22528
-0.0,-2.3807106,1.0,-2.9653068,0.014794416,23551,1024,-8.344650268554688e-07,0.0010135486,0.00954888,0.00954888,13439.137932062149,23552
-0.0,-2.4126856,1.0,-2.9662373,0.01230793,24575,1024,0.0003185272216796875,0.0010261713,0.0094017675,0.0094017675,14026.323949813843,24576
-0.0,-2.453163,1.0,-2.9638436,0.013130256,25599,1024,-0.00024712085723876953,0.0010203326,0.008441705,0.008441705,14612.957612514496,25600
-0.0,-2.4536111,1.0,-2.9660344,0.016890584,26622,1023,0.18518930673599243,0.0011718702,0.0024315824,0.0024315824,15200.041246891022,26624
-0.0,-2.495861,1.0,-2.9672844,0.0126311565,27646,1024,-0.00032520294189453125,0.0010145621,0.00836408,0.00836408,15787.379152536392,27648
-0.0,-2.5447273,1.0,-2.9662325,0.010121881,28670,1024,0.0006178021430969238,0.0010118482,0.009628397,0.009628397,16371.010943174362,28672
-0.0,-2.567797,1.0,-2.9671898,0.01574761,29694,1024,6.186962127685547e-05,0.0010228655,0.005230861,0.005230861,16957.330003023148,29696
-0.0,-2.578064,1.0,-2.9643989,0.0117814895,30718,1024,-0.00012552738189697266,0.001015845,0.008106741,0.008106741,17544.517689704895,30720
-0.0,-2.6256292,1.0,-2.9662414,0.010619182,31742,1024,-9.655952453613281e-05,0.0010147509,0.012547809,0.012547809,18129.61926794052,31744
-0.0,-2.6621897,1.0,-2.9661732,0.011801277,32766,1024,-0.00031256675720214844,0.0010210632,0.009637367,0.009637367,18714.284197092056,32768
-0.0,-2.7012577,1.0,-2.9638996,0.011289751,33790,1024,0.00016003847122192383,0.0010162885,0.010454744,0.010454744,19300.225489854813,33792
-0.0,-2.725178,1.0,-2.9634748,0.009263125,34814,1024,-2.872943878173828e-05,0.0010230156,0.007558035,0.007558035,19885.533462047577,34816
-0.0,-2.7628489,1.0,-2.9673688,0.012012795,35838,1024,-4.410743713378906e-05,0.0010207715,0.00782275,0.00782275,20471.457797050476,35840
-0.0,-2.7774363,1.0,-2.9684517,0.009639949,36862,1024,-0.0002804994583129883,0.0010201293,0.0070775095,0.0070775095,21059.43247652054,36864
-0.0,-2.828703,1.0,-2.965756,0.012655736,37886,1024,-0.00016891956329345703,0.0010141076,0.007464733,0.007464733,21645.676284074783,37888
-0.0,-2.8478632,1.0,-2.9632568,0.011916719,38910,1024,3.5703182220458984e-05,0.0010210436,0.006335745,0.006335745,22231.20379590988,38912
-0.0,-2.8916197,1.0,-2.9664001,0.011301754,39934,1024,-1.2874603271484375e-05,0.0010135038,0.0045900773,0.0045900773,22818.588460445404,39936
-0.0,-2.9583318,1.0,-2.96669,0.011190484,40958,1024,-0.00041615962982177734,0.0010080008,0.0059997747,0.0059997747,23405.303548812866,40960
-0.0,-2.9721968,1.0,-2.9643288,0.012531834,41982,1024,1.4781951904296875e-05,0.001001871,0.0028529796,0.0028529796,23990.887942552567,41984
-0.0,-3.002823,1.0,-2.9687526,0.013168064,43006,1024,-0.00024020671844482422,0.0010162765,0.004830503,0.004830503,24576.35619187355,43008
-0.0,-3.032404,1.0,-2.9658532,0.010264809,44030,1024,-0.00010883808135986328,0.0010250882,0.005187295,0.005187295,25162.46652173996,44032
-0.0,-3.067938,1.0,-2.9647782,0.011988935,45054,1024,-5.733966827392578e-05,0.0010107043,0.0036522835,0.0036522835,25748.212610721588,45056
-0.0,-3.1093557,1.0,-2.9679456,0.0117744105,46078,1024,1.9311904907226562e-05,0.0010116599,0.003499513,0.003499513,26334.371784448624,46080
-0.0,-3.1330893,1.0,-2.9653645,0.0145217385,47102,1024,-6.031990051269531e-05,0.0010211427,0.005684691,0.005684691,26922.25851368904,47104
-0.0,-3.1640165,1.0,-2.9662259,0.010415741,48126,1024,-2.86102294921875e-05,0.0010224729,0.0029477528,0.0029477528,27511.179883241653,48128
-0.0,-3.2183225,1.0,-2.9632382,0.009542447,49150,1024,-3.933906555175781e-06,0.0010087048,0.0029240064,0.0029240064,28098.31064391136,49152
-0.0,-3.2508752,1.0,-2.965924,0.013207091,50174,1024,-0.00015079975128173828,0.0010096128,0.00374297,0.00374297,28684.88973236084,50176
-0.0,-3.277943,1.0,-2.9684973,0.010482467,51198,1024,-0.000110626220703125,0.001020499,0.00399343,0.00399343,29274.429891586304,51200
-0.0,-3.3061223,1.0,-2.9660192,0.010714118,52222,1024,-2.3126602172851562e-05,0.0010130637,0.006114231,0.006114231,29860.330609083176,52224
-0.0,-3.3314967,1.0,-2.962737,0.014861945,53246,1024,-2.193450927734375e-05,0.0010126366,0.0019948976,0.0019948976,30446.24056339264,53248
-0.0,-3.3513322,1.0,-2.9649422,0.011070947,54270,1024,-0.0001609325408935547,0.001010882,0.005116827,0.005116827,31034.318257331848,54272
-0.0,-3.3516867,1.0,-2.9625835,0.01507067,55292,1022,0.20023012161254883,0.0009001244,0.0015389826,0.0015389826,31625.45493578911,55296
-0.0,-3.3885345,1.0,-2.9659011,0.009936673,56316,1024,7.867813110351562e-05,0.0010159428,0.004770284,0.004770284,32212.5925116539,56320
-0.0,-3.4362738,1.0,-2.9660192,0.010040656,57340,1024,-0.00012671947479248047,0.0010083254,0.0023553,0.0023553,32798.4250330925,57344
-0.0,-3.467747,1.0,-2.9656377,0.0118110385,58364,1024,-4.9948692321777344e-05,0.0010184236,0.0043539125,0.0043539125,33385.65537571907,58368
-0.0,-3.5312803,1.0,-2.9643657,0.012406328,59388,1024,4.506111145019531e-05,0.0010095689,0.0028585447,0.0028585447,33970.88650035858,59392
-0.0,-3.5638804,1.0,-2.966662,0.010887655,60412,1024,3.6656856536865234e-05,0.0010145839,0.004684484,0.004684484,34558.36664056778,60416
-0.0,-3.5832484,1.0,-2.9647808,0.010421729,61436,1024,7.063150405883789e-05,0.0010134699,0.0037522418,0.0037522418,35146.61169910431,61440
-0.0,-3.5798497,1.0,-2.965566,0.010843967,62460,1024,-0.00027000904083251953,0.0010151296,0.0047040014,0.0047040014,35737.59919309616,62464
-0.0,-3.6037364,1.0,-2.9656806,0.010224508,63484,1024,-1.9431114196777344e-05,0.0010192168,0.0069232685,0.0069232685,36325.37129878998,63488
-0.0,-3.6323302,1.0,-2.9685397,0.0128668025,64508,1024,-3.635883331298828e-05,0.0010157714,0.0038613402,0.0038613402,36915.02168440819,64512
-0.0,-3.6393185,1.0,-2.9687552,0.009465983,65532,1024,-0.0002982616424560547,0.0010160153,0.002929348,0.002929348,37503.95954704285,65536
-0.0,-3.6672854,1.0,-2.9687657,0.010799235,66556,1024,3.7550926208496094e-05,0.0010160933,0.009034072,0.009034072,38090.63896942139,66560
-0.0,-3.6968691,1.0,-2.966085,0.011143649,67580,1024,-4.1365623474121094e-05,0.0010209358,0.005026659,0.005026659,38679.107570409775,67584
-0.0,-3.7107236,1.0,-2.964883,0.010406936,68604,1024,0.00021439790725708008,0.0010129751,0.0059553776,0.0059553776,39269.61056923866,68608
-0.0,-3.7414744,1.0,-2.9658787,0.010547485,69628,1024,-6.318092346191406e-06,0.0010136303,0.0026308727,0.0026308727,39860.165640830994,69632
-0.0,-3.7731724,1.0,-2.9647183,0.011625344,70652,1024,-0.00014448165893554688,0.001023639,0.005246902,0.005246902,40447.92090153694,70656
-0.0,-3.8178213,1.0,-2.9647648,0.010047458,71676,1024,-0.0003145933151245117,0.001007888,0.0029510641,0.0029510641,41037.51180934906,71680
-0.0,-3.8480833,1.0,-2.9662738,0.017540446,72700,1024,-2.276897430419922e-05,0.0010169051,0.0036690454,0.0036690454,41624.83729290962,72704
-0.0,-3.8644998,1.0,-2.962933,0.012056608,73724,1024,-4.2438507080078125e-05,0.0010127457,0.00437675,0.00437675,42211.51710438728,73728
