# {"env_id": "PickbotReachOrientDoorHandle-v5", "t_start": 1567723370.4598494} 
r,l,t
0,16,5.559544
1,2,8.999016
0,30,18.252183
0,25,26.20609
1,2,29.807125
0,50,41.375351
0,11,45.27449
0,29,54.014875
0,32,63.347267
0,39,73.990425
0,16,80.33847
0,17,86.784138
1,2,90.349402
1,2,94.184469
0,50,107.097506
0,15,113.086061
0,29,121.667348
0,1,123.091854
0,42,134.571153
0,23,140.208552
1,2,143.905989
0,44,155.597744
0,16,161.866399
1,2,165.650633
0,29,173.318681
0,30,182.221196
0,27,190.306523
0,18,196.705687
0,29,205.389085
0,9,210.18945
0,49,222.612742
0,44,234.200159
0,41,245.122616
0,36,253.691858
0,54,266.891992
0,2,270.462836
1,2,274.361468
0,28,281.965479
1,2,285.769246
0,46,297.911796
1,2,301.462913
0,24,307.709219
0,16,313.919572
0,16,320.102154
0,36,329.097354
0,16,335.325295
1,2,338.855968
1,2,342.376125
0,44,353.885449
0,8,357.251414
0,37,366.681382
0,1,367.549935
0,24,375.295467
0,16,381.608499
0,55,395.189687
0,9,399.921012
0,6,404.222874
0,16,409.560997
0,29,416.819814
0,21,423.980887
0,16,430.293659
0,51,443.387646
0,16,449.647101
0,27,457.956156
0,35,467.844153
0,14,474.008746
0,28,481.198092
0,4,487.665717
0,6,489.940116
1,2,493.721902
1,1,496.257889
0,1,498.69567
0,1,499.286042
0,1,499.990599
1,2,503.898595
0,24,511.960703
0,53,524.306151
0,22,532.108066
0,46,543.905822
1,2,547.421696
0,29,555.845492
0,16,562.067901
0,31,571.326286
1,2,575.189353
1,2,578.868306
1,2,582.734075
0,1,584.87102
0,4,588.707976
0,28,597.590652
0,18,604.142056
0,14,610.094075
0,2,613.689867
0,1,615.323506
0,2,618.799111
0,10,621.420479
0,25,629.28055
0,36,639.230814
1,2,642.754187
0,11,647.860142
0,36,657.670522
0,36,667.770921
0,17,674.1442
1,2,677.697993
0,38,687.367035
0,37,696.216448
0,18,701.601956
0,16,707.877175
0,4,709.298719
1,2,713.245512
0,24,719.284197
1,2,723.047437
0,8,725.238479
0,39,735.468106
0,36,745.543034
0,50,758.345449
0,21,764.231438
0,41,775.27682
0,34,784.745708
0,34,794.467488
0,28,802.936178
0,15,808.768379
0,28,817.326814
0,43,828.579652
0,25,835.01771
1,40,845.702893
0,38,854.811563
0,14,860.580375
0,27,867.658194
0,17,874.01585
0,26,881.896189
0,32,888.82028
0,28,895.023527
0,45,907.43223
0,16,913.679387
0,36,922.917928
0,8,927.428162
1,2,930.87573
0,16,937.551158
0,23,944.997211
0,37,954.297804
0,36,965.284698
1,2,968.938558
0,30,977.176757
0,16,981.290903
0,48,993.278027
0,14,998.189444
0,37,1008.196707
0,16,1014.369128
1,2,1017.985986
0,12,1023.095394
0,7,1025.609232
0,2,1029.47374
0,19,1036.386131
0,46,1047.383422
0,13,1052.983197
0,29,1061.582063
0,53,1074.688084
0,43,1085.180662
0,41,1095.394599
0,31,1104.294259
0,12,1109.651156
0,41,1119.587388
0,10,1122.719966
0,53,1136.473416
0,24,1144.099123
0,12,1147.239964
0,10,1152.143832
1,2,1155.974968
0,25,1162.26914
0,42,1173.23727
0,16,1179.363957
0,20,1186.387095
0,19,1193.27297
0,18,1199.757879
0,35,1209.506514
0,6,1212.750976
0,2,1213.811395
1,2,1217.405708
0,18,1223.183568
0,41,1231.916206
0,30,1238.960396
0,16,1245.09933
0,24,1252.494174
0,8,1255.202115
0,28,1263.595142
1,2,1267.400314
1,2,1271.458257
0,40,1280.29806
0,35,1289.747358
0,19,1296.303991
0,2,1299.761952
0,6,1304.008781
0,30,1312.780054
0,21,1317.380689
0,45,1328.860918
0,28,1337.28381
0,31,1345.968704
1,2,1349.548979
0,33,1358.968869
0,47,1371.747221
0,5,1374.531602
0,37,1384.498522
1,1,1386.810808
0,1,1387.607496
0,7,1391.951112
0,38,1400.132395
0,28,1406.475453
0,42,1417.31627
0,42,1427.075288
0,4,1428.876199
0,26,1436.781582
0,24,1444.564143
0,16,1450.743077
1,2,1454.404234
0,22,1461.75506
1,2,1465.505197
0,35,1475.488237
0,29,1482.691447
0,28,1492.13227
0,1,1493.4318
0,22,1500.547408
1,1,1502.931765
0,26,1510.348957
0,31,1516.656379
0,46,1527.200308
0,28,1533.35953
0,33,1542.782448
0,16,1548.938095
1,2,1552.786602
0,33,1561.267151
0,37,1570.065851
0,31,1578.888201
0,39,1588.539447
0,46,1600.621308
0,35,1610.30306
0,27,1618.397501
0,6,1622.636525
0,39,1631.768098
0,16,1638.062277
0,36,1647.695151
0,48,1659.760144
0,43,1671.009286
0,7,1674.693332
0,26,1682.82843
1,1,1685.390335
0,30,1694.375569
0,14,1700.090508
0,35,1710.365983
0,16,1716.570681
1,2,1720.413735
0,6,1722.229015
0,14,1728.02305
0,2,1731.525019
0,16,1736.535032
1,1,1738.96223
0,28,1747.533937
1,2,1751.052329
0,2,1754.552362
0,13,1758.868121
0,28,1767.338112
0,19,1772.47947
0,28,1780.890534
0,43,1792.007961
0,18,1797.328893
0,16,1802.382668
0,30,1811.756591
0,49,1823.225564
0,6,1826.213202
0,25,1833.839247
0,44,1845.280294
1,1,1847.953328
0,28,1856.589472
0,31,1865.452464
0,29,1873.885124
0,27,1882.046403
0,44,1893.453182
