approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
6.619778e-06,0.0,22.75,0.20454545454545456,0.9698773492127657,3,1,0.03338663,-2.9166637e-05,1024,323.066364628,1024,0.00022877567
7.185218e-05,0.0009765625,21.56,0.23,0.6966510117053986,3,10,0.0340825,-0.00020506518,10240,3222.801530371,10240,0.0055431896
2.9726158e-05,0.00048828125,21.57,0.18,0.7181814610958099,3,20,0.0147184655,-0.00022190064,20480,6438.506939561999,20480,0.0037031712
1.1263027e-05,0.0,28.09,0.14,0.7003311514854431,2,30,0.022172276,-1.9133615e-05,30720,9911.150467662,30720,0.0015772672
9.690716e-11,0.0,27.97,0.18,0.8393197953701019,3,40,0.013330869,-1.6149716e-07,40960,13359.574467707,40960,0.0009269043
8.8538596e-05,0.0007324219,22.82,0.12,0.6596624851226807,3,50,0.008642215,-0.000830085,51200,16657.610917363,51200,0.0038271004
6.5253116e-06,0.00024414062,22.31,0.17,0.8748553842306137,3,60,0.0060766316,-3.6883866e-05,61440,19974.697454536,61440,0.0010877597
8.104261e-12,0.0,21.2,0.18,0.5355724096298218,3,70,0.006941692,3.867899e-07,71680,23185.628925531,71680,0.0037450914
2.6036948e-10,0.0,27.0,0.27,0.9728573616594076,3,80,0.0036022821,-2.188608e-08,81920,26536.168750259,81920,0.00014457767
7.7647775e-12,0.0,22.63,0.13,0.7003683745861053,3,90,0.0033882617,1.1969532e-06,92160,29730.047973971,92160,0.002723948
3.0213262e-12,0.0,23.28,0.13,0.6278066337108612,3,100,0.0031508082,6.7506335e-07,102400,33003.462707195,102400,0.0027215485
1.5046008e-06,0.0,26.86,0.19,0.6969589591026306,2,110,0.0031523188,-3.7717982e-06,112640,36474.634337505,112640,0.0019074014
1.234717e-06,0.0,21.84,0.2,0.5396121740341187,3,120,0.0038070818,-9.661657e-06,122880,39945.254440004996,122880,0.009742187
5.2706645e-11,0.0,21.94,0.18,0.5642882883548737,3,130,0.0032700934,1.8044375e-06,133120,43241.894818784,133120,0.0055900607
4.6691946e-14,0.0,26.41,0.18,0.9490288347005844,2,140,0.0023175504,1.9324943e-08,143360,46831.555083683,143360,0.00028403307
5.9100565e-13,0.0,20.4,0.25,0.7185335457324982,3,150,0.002494709,1.8591527e-07,153600,50037.706369497,153600,0.0055148443
5.44368e-12,0.0,20.53,0.24,0.7127520442008972,2,160,0.0025796187,-2.6312773e-07,163840,53225.525249706,163840,0.0046868995
6.840379e-07,0.0,21.61,0.25,0.7168805599212646,3,170,0.003048631,-3.2407697e-06,174080,56505.636543729,174080,0.002619017
5.616683e-06,0.0,18.39,0.23,0.7997491508722305,3,180,0.0023486037,-3.8442027e-05,184320,59801.451262768,184320,0.0019426853
1.4110091e-08,0.0,20.27,0.22,0.6800889670848846,2,190,0.0028229072,1.9850268e-06,194560,63170.641897498,194560,0.0064122872
3.4892364e-13,0.0,18.88,0.25,0.6390412747859955,2,200,0.0025195319,2.7182978e-08,204800,66473.368012352,204800,0.006028168
2.9004188e-06,0.0,21.08,0.17,0.7489675879478455,3,210,0.0025488306,-1.1283555e-05,215040,69874.764702146,215040,0.002839885
3.3028686e-12,0.0,20.27,0.27,0.7144486904144287,2,220,0.0023847786,3.647001e-07,225280,73376.69581669,225280,0.004991452
6.3474535e-14,0.0,22.31,0.14,0.8429346978664398,3,230,0.0013341368,-9.522773e-08,235520,76720.859983328,235520,0.00074825337
1.5585233e-13,0.0,20.75,0.16,0.560809850692749,3,240,0.0013128389,1.4214311e-07,245760,79991.119622447,245760,0.0018178961
3.993272e-13,0.0,20.47,0.17,0.7676403820514679,3,250,0.0019100324,-1.0681106e-07,256000,83191.301045283,256000,0.0016497608
1.7760592e-12,0.0,29.9,0.11,0.7027277946472168,3,260,0.0014507796,1.1059456e-09,266240,86626.367729538,266240,0.0034707615
1.7968415e-11,0.0,20.38,0.17,0.7418243885040283,2,270,0.0014751693,-1.5768455e-06,276480,90109.552642469,276480,0.0014056969
9.492762e-13,0.0,23.04,0.14,0.869883269071579,3,280,0.0012637672,3.1290983e-07,286720,93329.75929883,286720,0.00064782606
5.023114e-13,0.0,22.88,0.15,0.9434352405369282,3,290,0.0013974822,3.5703124e-07,296960,96858.275319708,296960,0.0002478043
1.1010034e-06,0.0,22.65,0.17,0.873762235045433,3,300,0.0015592527,-1.3234967e-07,307200,100233.51443269201,307200,0.0004924316
1.5616699e-13,0.0,24.38,0.16,0.9323411360383034,2,310,0.0014457211,8.154893e-08,317440,103421.75383550601,317440,0.00037608817
6.019514e-13,0.0,21.37,0.15,0.47469764947891235,3,320,0.0016901294,1.321896e-07,327680,106705.80330674301,327680,0.0049432176
2.8729647e-13,0.0,23.0,0.18,0.5581024289131165,3,330,0.0016995195,-4.301546e-08,337920,109926.39007363001,337920,0.0043030106
