# {"t_start": 1567929268.6531463, "env_id": "PickbotReachOrientDoorHandle-v5"} 
r,l,t
0,15,7.481746
0,32,17.478827
0,2,21.071819
0,32,30.407941
0,5,34.402923
0,16,41.064109
1,2,45.009781
0,8,47.208708
0,45,58.560144
0,22,64.068577
0,16,70.479549
1,43,82.516091
0,4,86.324006
0,5,94.01979
0,42,103.882578
1,2,107.741811
1,2,111.63049
0,7,116.319663
0,7,119.721467
1,2,123.316042
0,22,130.733555
1,2,134.301709
0,45,144.759487
0,16,150.982417
0,25,157.511376
0,54,170.973503
0,37,179.244206
0,48,191.637488
0,32,200.940826
0,23,208.618583
0,37,218.897759
1,2,222.697802
1,28,231.658277
1,28,240.731091
0,13,244.501959
0,46,256.723005
0,18,262.30774
0,32,272.119531
0,5,274.077714
0,19,281.841765
0,38,291.020176
0,25,299.127015
1,2,303.52587
0,2,307.447669
1,1,309.970865
1,28,318.936097
0,39,328.746052
1,2,332.544149
1,2,336.548643
0,16,342.89254
1,2,346.410006
0,51,360.018756
0,2,363.608445
0,18,368.077766
0,16,374.409055
0,29,383.014842
0,9,387.861186
0,36,398.010198
0,34,406.223625
0,14,412.022722
0,37,421.696939
0,23,427.23037
0,18,434.103545
0,46,446.1971
1,2,449.687161
0,29,458.391578
0,49,469.034325
0,37,477.932353
1,2,481.78067
0,15,488.009882
0,3,489.721725
0,12,496.585454
0,14,502.452573
0,25,508.350152
1,2,511.865891
0,48,524.437548
1,2,528.319574
0,44,539.899513
0,17,546.34621
0,15,552.45641
1,2,556.336439
0,19,563.288442
0,35,571.922093
1,2,575.484879
0,13,579.705677
0,31,589.951009
0,14,595.621495
0,21,602.731445
0,23,608.935289
0,33,618.409847
0,3,621.990484
0,36,632.114084
0,29,638.819208
0,38,647.808903
0,16,654.103201
0,3,655.918608
0,15,661.832284
0,16,667.934863
0,6,672.110044
0,27,678.438003
0,16,684.55323
0,48,695.08542
0,14,700.916623
0,29,709.51252
1,2,713.453724
1,28,720.788663
0,30,729.732589
1,2,733.49725
1,2,737.758972
0,28,747.011346
1,2,750.88692
0,44,762.56403
0,2,766.024468
1,2,769.869312
0,7,771.916225
0,6,776.109614
1,2,779.615163
0,16,786.83367
0,2,790.793267
0,23,798.972934
0,42,810.12893
0,32,820.693459
0,25,828.719939
0,18,835.414262
0,37,846.716856
0,16,853.422429
1,2,857.19162
1,2,861.257208
0,1,862.741947
0,15,868.607248
0,25,876.631
0,18,881.273483
1,2,885.153654
0,49,898.060096
0,31,907.087027
0,29,915.05794
0,16,921.260101
0,20,928.211822
0,12,931.63519
0,22,939.319624
0,43,949.485148
0,36,959.953635
1,2,963.819744
0,25,970.692588
1,2,974.251595
1,2,978.161518
0,53,991.703138
0,46,1003.967914
0,18,1010.496662
1,2,1014.645792
0,8,1020.720384
0,1,1021.620143
0,1,1022.414505
0,46,1034.553464
0,16,1041.582221
1,2,1046.262065
1,2,1049.898458
0,29,1060.079199
0,15,1065.272974
1,2,1069.204027
0,7,1074.866988
0,38,1086.090912
0,30,1092.911157
0,44,1104.422996
0,25,1112.032387
0,36,1122.779589
0,14,1129.326553
0,2,1130.721779
0,19,1137.628831
1,2,1141.58472
0,15,1147.277785
0,30,1156.46209
0,52,1170.004705
0,14,1175.761125
0,28,1184.178891
0,15,1188.130803
0,41,1197.787361
0,4,1201.606342
0,6,1204.059664
0,47,1216.41071
0,26,1223.362604
0,40,1234.282696
1,2,1237.896666
1,2,1241.759567
0,16,1248.148435
0,6,1250.373716
1,2,1254.037163
0,16,1262.134214
1,2,1266.070046
0,22,1271.546123
0,18,1278.197519
0,25,1287.996477
0,16,1294.194978
0,17,1300.717909
0,15,1306.852468
0,16,1313.359005
1,2,1316.916288
0,15,1321.601532
1,2,1325.565919
1,28,1334.560614
0,19,1339.775519
1,2,1343.583651
0,14,1349.72861
0,50,1372.456599
0,52,1385.962831
0,11,1389.306177
0,15,1395.224931
0,47,1407.538015
0,17,1413.464182
0,32,1420.914035
0,31,1430.567878
0,50,1444.120188
0,50,1457.092758
0,16,1465.343977
1,2,1469.366907
0,35,1479.771975
0,26,1487.066666
0,42,1497.720962
0,24,1506.89318
0,25,1515.024697
1,2,1519.027489
0,28,1526.728972
0,2,1530.291047
0,54,1543.737085
1,2,1547.717071
1,24,1555.472612
0,32,1563.761059
0,40,1573.755255
0,27,1583.855448
0,21,1593.519801
0,46,1606.63375
1,2,1610.448106
0,29,1619.386346
0,40,1630.573617
0,22,1636.115121
0,44,1647.806007
0,52,1662.836936
0,16,1669.046854
0,30,1677.195528
0,29,1684.006394
0,47,1696.118659
0,24,1702.917013
0,44,1714.670616
0,24,1722.609724
0,28,1731.284446
0,25,1737.433436
0,36,1748.531111
0,42,1761.108659
0,35,1769.922453
1,2,1773.477447
0,19,1780.102106
0,28,1786.83327
0,27,1794.764675
0,46,1808.451033
0,31,1819.147
0,19,1825.228136
0,5,1827.990067
0,31,1836.462053
0,31,1845.760353
1,1,1848.246961
0,32,1858.448591
0,31,1866.602365
0,32,1874.87665
0,26,1881.906306
0,6,1883.805896
1,2,1887.677116
0,7,1889.820454
0,31,1897.510317
0,27,1905.798997
0,24,1912.061834
0,55,1929.681177
0,9,1932.17436
1,2,1936.23134
0,28,1944.164032
0,3,1946.068223
0,36,1956.48501
1,2,1959.995238
0,40,1971.929525
0,46,1983.776999
0,50,1997.6516
0,1,1998.54259
1,2,2002.199474
0,20,2008.534899
0,16,2013.364748
0,41,2024.149236
0,21,2030.212456
0,16,2036.364868
0,26,2043.352502
0,46,2055.092822
0,43,2066.366791
0,27,2074.834702
0,23,2082.461478
0,50,2095.289626
1,2,2099.026535
0,16,2105.2699
0,46,2117.140419
0,48,2129.776258
0,28,2138.269097
0,15,2143.134332
0,35,2152.936299
0,40,2163.62183
0,20,2169.400575
0,16,2175.637017
1,2,2179.277112
0,40,2190.042184
1,2,2193.483758
1,2,2197.473967
0,18,2202.436164
0,20,2209.666787
0,16,2215.895322
0,16,2222.142681
0,34,2230.446809
0,16,2236.566373
0,16,2242.833007
1,2,2246.630787
0,7,2248.709081
0,35,2257.324805
0,16,2263.52848
0,11,2269.007009
0,25,2274.715644
0,16,2280.976494
1,2,2284.697906
0,34,2294.74683
0,52,2307.856168
0,14,2311.460949
0,35,2321.15731
0,20,2328.731888
0,12,2334.351614
0,32,2343.884741
0,31,2353.410565
0,16,2357.682324
0,8,2362.346827
0,24,2369.605997
0,11,2374.094049
0,31,2383.218665
1,2,2387.033453
0,17,2393.715302
0,17,2400.423604
0,44,2412.085385
0,24,2420.228972
0,42,2431.635992
0,26,2439.964459
1,2,2443.986842
0,32,2454.038865
0,24,2461.706445
0,3,2464.424308
0,51,2476.621177
0,16,2482.952055
0,28,2491.983243
0,28,2500.838077
0,32,2508.9862
0,38,2519.908647
1,2,2523.956781
1,1,2526.328568
0,29,2536.374722
0,35,2546.193905
0,21,2554.034902
0,35,2562.590132
0,46,2572.492065
0,16,2578.716852
0,21,2586.109688
0,29,2592.63078
1,1,2595.083478
0,28,2603.711403
0,42,2614.913734
0,14,2620.625766
1,2,2624.438454
0,46,2634.589707
1,2,2638.518537
1,28,2647.054957
0,24,2654.585984
0,2,2658.083653
